epoch,lambda_coral,lambda_dann,train_loss,task_loss,coral_loss,dann_loss,train_domain_acc,src_mse,tgt_mse,macro_val_mse,macro_val_spearman,src_mape,tgt_mape,domain_acc,h_div,fold
1,0.0,0.0,0.8113157493727547,0.8113157493727547,0.0,0.0,0.0,1.1661230325698853,0.645698070526123,0.775804340839386,0.5415338027359533,81.55453491210938,93.22964731852214,0.3640032410621643,0.0,1
2,0.0,0.0,0.5946907156280109,0.5946907156280109,0.0,0.0,0.0,0.8107116222381592,0.291374996304512,0.421209167689085,0.7936989035697828,88.97312927246094,66.91220092773438,0.37933817505836487,0.0,1
3,0.0,0.0,0.32244117983749937,0.32244117983749937,0.0,0.0,0.0,0.6006598472595215,0.1333314540485541,0.25016353745013475,0.8711591360182217,56.81142807006836,40.72207514444987,0.37288135290145874,0.0,1
4,0.0,0.0,0.23094832365001952,0.23094832365001952,0.0,0.0,0.0,0.3937872052192688,0.1347623417774836,0.1995185650885105,0.8956840250953225,65.01002502441406,47.40674654642741,0.4689265489578247,0.0,1
5,0.0,0.0,0.21073010563850403,0.21073010563850403,0.0,0.0,0.0,0.24626366794109344,0.1112324446439743,0.1449902579188347,0.9256861260234106,43.75856399536133,43.686631520589195,0.4455205798149109,0.0,1
6,0.0,0.0,0.13946385655019963,0.13946385655019963,0.0,0.0,0.0,0.1700485199689865,0.10716601585348447,0.12288663443177938,0.9389694002941734,40.04435348510742,39.70261446634928,0.3979015350341797,0.0,1
7,0.0,0.0,0.12272250945014614,0.12272250945014614,0.0,0.0,0.0,0.3207513391971588,0.17456471174955368,0.21111136861145496,0.9474979620148215,49.727867126464844,42.76575215657552,0.3494753837585449,0.0,1
8,0.0,0.0,0.11725891275065285,0.11725891275065285,0.0,0.0,0.0,0.12404608726501465,0.14347823212544122,0.1386201959103346,0.9465452028124162,26.53077507019043,47.0864060719808,0.4576271176338196,0.0,1
9,0.0,0.0,0.09754352777131967,0.09754352777131967,0.0,0.0,0.0,0.15334473550319672,0.08878596623738606,0.10492565110325813,0.9608728290013149,39.95637130737305,41.37110900878906,0.47941887378692627,0.0,1
10,0.0,0.0,0.08380612464887756,0.08380612464887756,0.0,0.0,0.0,0.07303549349308014,0.12103560691078503,0.10903558041900396,0.9547366482963697,23.637821197509766,32.509159088134766,0.32768362760543823,0.0,1
11,0.0,0.0,0.0838693587907723,0.0838693587907723,0.0,0.0,0.0,0.06976696848869324,0.06940319761633873,0.06949414033442736,0.9591976980082251,23.279253005981445,29.383307139078777,0.3930589258670807,0.0,1
12,0.0,0.0,0.061275531138692586,0.061275531138692586,0.0,0.0,0.0,0.046824973076581955,0.06546832683185737,0.06080748839303851,0.968196616991821,18.77629852294922,27.441704432169598,0.45117029547691345,0.0,1
13,0.0,0.0,0.05996316219014781,0.05996316219014781,0.0,0.0,0.0,0.04515543580055237,0.06484676680217187,0.05992393405176699,0.9634156152160812,18.502565383911133,28.20572280883789,0.3930589258670807,0.0,1
14,0.0,0.0,0.05345894822052547,0.05345894822052547,0.0,0.0,0.0,0.10479617118835449,0.08708183964093526,0.09151042252779007,0.9653916538504118,33.992584228515625,38.33795738220215,0.3478611707687378,0.0,1
15,0.0,0.0,0.054895036587757726,0.054895036587757726,0.0,0.0,0.0,0.0650237649679184,0.05112111630539099,0.054596778471022844,0.9711957557863418,24.41837501525879,27.93239148457845,0.4810330867767334,0.0,1
16,0.0,0.0,0.039296827744692564,0.039296827744692564,0.0,0.0,0.0,0.03490779921412468,0.05180127018441757,0.047577902441844344,0.9724202077341343,15.363177299499512,26.13488547007243,0.39144471287727356,0.0,1
17,0.0,0.0,0.05228427950558918,0.05228427950558918,0.0,0.0,0.0,0.03197474032640457,0.053898773776988186,0.048417765414342284,0.9764151865738497,16.22480583190918,25.82781982421875,0.4196932911872864,0.0,1
18,0.0,0.0,0.036105319658028226,0.036105319658028226,0.0,0.0,0.0,0.03865111246705055,0.04893178710093101,0.046361618442460895,0.9718753177840425,17.682239532470703,25.943359692891438,0.39144471287727356,0.0,1
19,0.0,0.0,0.03864319383033684,0.03864319383033684,0.0,0.0,0.0,0.04707330837845802,0.050546335677305855,0.049678077921271324,0.976713133658496,19.81356430053711,29.15378252665202,0.42050039768218994,0.0,1
20,0.0,0.0,0.033277986970330985,0.033277986970330985,0.0,0.0,0.0,0.023016344755887985,0.046113002113997936,0.04033883777447045,0.9782697172409895,14.999613761901855,26.022363026936848,0.4003228545188904,0.0,1
21,0.0,0.0,0.03300840733572841,0.03300840733572841,0.0,0.0,0.0,0.024511419236660004,0.04542772533992926,0.04019864881411195,0.9780245346247282,14.605657577514648,25.152207374572754,0.4261501133441925,0.0,1
